"","gvkey","sic2","category"
"24954",125583,48,"Transportation & Public Utilities"
"24955",125584,NA,NA
"24956",125594,28,"Manufacturing"
"24957",125595,73,"Services"
"24958",125596,NA,NA
"24959",125597,NA,NA
"24960",125598,73,"Services"
"24961",125599,36,"Manufacturing"
"24962",125600,36,"Manufacturing"
"24963",125601,59,"Retail Trade"
"24964",125604,36,"Manufacturing"
"24965",125614,NA,NA
"24966",125654,NA,NA
"24967",125674,NA,NA
"24968",125675,NA,NA
"24969",125714,NA,NA
"24970",125734,NA,NA
"24971",125754,NA,NA
"24972",125794,48,"Transportation & Public Utilities"
"24973",125795,NA,NA
"24974",125814,NA,NA
"24975",125834,NA,NA
"24976",125859,NA,NA
"24977",125860,NA,NA
"24978",125862,NA,NA
"24979",125863,36,"Manufacturing"
"24980",125874,NA,NA
"24981",125894,NA,NA
"24982",125914,NA,NA
"24983",125934,NA,NA
"24984",125954,NA,NA
"24985",125975,73,"Services"
"24986",125976,NA,NA
"24987",125977,NA,NA
"24988",125978,NA,NA
"24989",125994,NA,NA
"24990",125996,NA,NA
"24991",126005,NA,NA
"24992",126006,NA,NA
"24993",126007,59,"Retail Trade"
"24994",126010,28,"Manufacturing"
"24995",126017,NA,NA
"24996",126020,36,"Manufacturing"
"24997",126029,78,"Services"
"24998",126030,35,"Manufacturing"
"24999",126036,10,"Mining"
"25000",126039,NA,NA
"25001",126040,NA,NA
"25002",126046,12,"Mining"
"25003",126052,25,"Manufacturing"
"25004",126056,48,"Transportation & Public Utilities"
"25005",126122,NA,NA
"25006",126136,48,"Transportation & Public Utilities"
"25007",126137,NA,NA
"25008",126140,NA,NA
"25009",126154,48,"Transportation & Public Utilities"
"25010",126174,NA,NA
"25011",126175,NA,NA
"25012",126176,NA,NA
"25013",126194,NA,NA
"25014",126214,NA,NA
"25015",126234,NA,NA
"25016",126254,NA,NA
"25017",126274,NA,NA
"25018",126294,NA,NA
"25019",126295,82,"Services"
"25020",126296,47,"Transportation & Public Utilities"
"25021",126297,NA,NA
"25022",126298,NA,NA
"25023",126314,73,"Services"
"25024",126317,47,"Transportation & Public Utilities"
"25025",126318,35,"Manufacturing"
"25026",126320,NA,NA
"25027",126322,36,"Manufacturing"
"25028",126334,NA,NA
"25029",126354,NA,NA
"25030",126355,NA,NA
"25031",126356,NA,NA
"25032",126374,NA,NA
"25033",126375,NA,NA
"25034",126394,NA,NA
"25035",126395,NA,NA
"25036",126414,NA,NA
"25037",126416,NA,NA
"25038",126417,35,"Manufacturing"
"25039",126420,NA,NA
"25040",126423,NA,NA
"25041",126424,NA,NA
"25042",126434,87,"Services"
"25043",126454,73,"Services"
"25044",126455,59,"Retail Trade"
"25045",126456,NA,NA
"25046",126459,NA,NA
"25047",126461,73,"Services"
"25048",126462,NA,NA
"25049",126474,NA,NA
"25050",126495,NA,NA
"25051",126496,87,"Services"
"25052",126497,NA,NA
"25053",126498,NA,NA
"25054",126514,48,"Transportation & Public Utilities"
"25055",126554,38,"Manufacturing"
"25056",126555,48,"Transportation & Public Utilities"
"25057",126596,48,"Transportation & Public Utilities"
"25058",126597,73,"Services"
"25059",126599,NA,NA
"25060",126600,73,"Services"
"25061",126601,87,"Services"
"25062",126614,NA,NA
"25063",126615,35,"Manufacturing"
"25064",126616,NA,NA
"25065",126620,NA,NA
"25066",126621,NA,NA
"25067",126623,NA,NA
"25068",126634,NA,NA
"25069",126654,NA,NA
"25070",126678,NA,NA
"25071",126694,NA,NA
"25072",126697,NA,NA
"25073",126714,48,"Transportation & Public Utilities"
"25074",126715,NA,NA
"25075",126716,36,"Manufacturing"
"25076",126717,NA,NA
"25077",126718,73,"Services"
"25078",126719,73,"Services"
"25079",126720,NA,NA
"25080",126721,36,"Manufacturing"
"25081",126722,34,"Manufacturing"
"25082",126734,73,"Services"
"25083",126759,60,"Finance, Insurance, Real Estate"
"25084",126769,28,"Manufacturing"
"25085",126772,NA,NA
"25086",126773,NA,NA
"25087",126775,36,"Manufacturing"
"25088",126778,NA,NA
"25089",126794,51,"Wholesale Trade"
"25090",126797,99,"Public Administration"
"25091",126798,NA,NA
"25092",126814,NA,NA
"25093",126836,NA,NA
"25094",126874,NA,NA
"25095",126875,NA,NA
"25096",126894,NA,NA
"25097",126895,48,"Transportation & Public Utilities"
"25098",126914,NA,NA
"25099",126934,NA,NA
"25100",126954,NA,NA
"25101",126976,60,"Finance, Insurance, Real Estate"
"25102",126977,NA,NA
"25103",126994,NA,NA
"25104",127034,28,"Manufacturing"
"25105",127054,NA,NA
"25106",127075,73,"Services"
"25107",127076,35,"Manufacturing"
"25108",127077,99,"Public Administration"
"25109",127094,73,"Services"
"25110",127114,36,"Manufacturing"
"25111",127134,60,"Finance, Insurance, Real Estate"
"25112",127158,NA,NA
"25113",127174,NA,NA
"25114",127175,NA,NA
"25115",127177,73,"Services"
"25116",127179,87,"Services"
"25117",127180,NA,NA
"25118",127194,NA,NA
"25119",127214,NA,NA
"25120",127234,73,"Services"
"25121",127254,38,"Manufacturing"
"25122",127274,NA,NA
"25123",127275,NA,NA
"25124",127279,87,"Services"
"25125",127281,NA,NA
"25126",127282,73,"Services"
"25127",127294,NA,NA
"25128",127314,37,"Manufacturing"
"25129",127316,NA,NA
"25130",127354,NA,NA
"25131",127376,NA,NA
"25132",127377,73,"Services"
"25133",127378,73,"Services"
"25134",127380,NA,NA
"25135",127381,73,"Services"
"25136",127382,NA,NA
"25137",127383,73,"Services"
"25138",127384,NA,NA
"25139",127386,73,"Services"
"25140",127388,NA,NA
"25141",127399,NA,NA
"25142",127414,NA,NA
"25143",127435,99,"Public Administration"
"25144",127436,73,"Services"
"25145",127437,NA,NA
"25146",127438,NA,NA
"25147",127439,64,"Finance, Insurance, Real Estate"
"25148",127455,NA,NA
"25149",127456,NA,NA
"25150",127462,NA,NA
"25151",127464,48,"Transportation & Public Utilities"
"25152",127475,82,"Services"
"25153",127477,37,"Manufacturing"
"25154",127479,51,"Wholesale Trade"
"25155",127480,NA,NA
"25156",127481,87,"Services"
"25157",127482,NA,NA
"25158",127484,80,"Services"
"25159",127485,NA,NA
"25160",127486,NA,NA
"25161",127494,NA,NA
"25162",127514,NA,NA
"25163",127534,NA,NA
"25164",127535,NA,NA
"25165",127539,20,"Manufacturing"
"25166",127541,NA,NA
"25167",127574,49,"Transportation & Public Utilities"
"25168",127575,NA,NA
"25169",127614,NA,NA
"25170",127616,NA,NA
"25171",127637,NA,NA
"25172",127640,NA,NA
"25173",127641,39,"Manufacturing"
"25174",127642,28,"Manufacturing"
"25175",127644,20,"Manufacturing"
"25176",127655,20,"Manufacturing"
"25177",127659,NA,NA
"25178",127674,78,"Services"
"25179",127675,49,"Transportation & Public Utilities"
"25180",127736,28,"Manufacturing"
"25181",127754,NA,NA
"25182",127774,63,"Finance, Insurance, Real Estate"
"25183",127775,NA,NA
"25184",127776,NA,NA
"25185",127797,NA,NA
"25186",127799,NA,NA
"25187",127840,NA,NA
"25188",127841,60,"Finance, Insurance, Real Estate"
"25189",127843,99,"Public Administration"
"25190",127922,NA,NA
"25191",127945,NA,NA
"25192",127958,36,"Manufacturing"
"25193",127959,NA,NA
"25194",127962,99,"Public Administration"
"25195",128019,13,"Mining"
"25196",128021,99,"Public Administration"
"25197",128039,60,"Finance, Insurance, Real Estate"
"25198",128041,48,"Transportation & Public Utilities"
"25199",128078,NA,NA
"25200",128079,59,"Retail Trade"
"25201",128098,73,"Services"
"25202",128099,NA,NA
"25203",128121,NA,NA
"25204",128178,NA,NA
"25205",128198,NA,NA
"25206",128218,NA,NA
"25207",128219,NA,NA
"25208",128238,NA,NA
"25209",128258,79,"Services"
"25210",128278,NA,NA
"25211",128279,NA,NA
"25212",128339,NA,NA
"25213",128358,NA,NA
"25214",128378,NA,NA
"25215",128379,NA,NA
"25216",128398,NA,NA
"25217",128399,NA,NA
"25218",128400,67,"Finance, Insurance, Real Estate"
"25219",128418,79,"Services"
"25220",128419,NA,NA
"25221",128438,NA,NA
"25222",128458,NA,NA
"25223",128459,NA,NA
"25224",128478,79,"Services"
"25225",128498,NA,NA
"25226",128518,NA,NA
"25227",128538,87,"Services"
"25228",128541,NA,NA
"25229",128559,NA,NA
"25230",128560,NA,NA
"25231",128581,60,"Finance, Insurance, Real Estate"
"25232",128599,NA,NA
"25233",128600,29,"Manufacturing"
"25234",128618,NA,NA
"25235",128620,NA,NA
"25236",128659,63,"Finance, Insurance, Real Estate"
"25237",128663,38,"Manufacturing"
"25238",128678,NA,NA
"25239",128679,NA,NA
"25240",128698,NA,NA
"25241",128718,27,"Manufacturing"
"25242",128740,NA,NA
"25243",128758,NA,NA
"25244",128759,35,"Manufacturing"
"25245",128761,NA,NA
"25246",128762,NA,NA
