"","gvkey","sic2","category"
"25656",137090,28,"Manufacturing"
"25657",137110,73,"Services"
"25658",137130,36,"Manufacturing"
"25659",137131,NA,NA
"25660",137132,NA,NA
"25661",137135,NA,NA
"25662",137136,82,"Services"
"25663",137137,NA,NA
"25664",137139,NA,NA
"25665",137141,NA,NA
"25666",137143,NA,NA
"25667",137150,NA,NA
"25668",137170,34,"Manufacturing"
"25669",137171,NA,NA
"25670",137230,NA,NA
"25671",137232,62,"Finance, Insurance, Real Estate"
"25672",137250,38,"Manufacturing"
"25673",137252,73,"Services"
"25674",137290,NA,NA
"25675",137292,36,"Manufacturing"
"25676",137310,36,"Manufacturing"
"25677",137330,NA,NA
"25678",137351,NA,NA
"25679",137352,NA,NA
"25680",137356,NA,NA
"25681",137357,NA,NA
"25682",137370,NA,NA
"25683",137371,48,"Transportation & Public Utilities"
"25684",137373,35,"Manufacturing"
"25685",137374,73,"Services"
"25686",137376,13,"Mining"
"25687",137377,38,"Manufacturing"
"25688",137378,60,"Finance, Insurance, Real Estate"
"25689",137390,59,"Retail Trade"
"25690",137394,NA,NA
"25691",137410,NA,NA
"25692",137430,99,"Public Administration"
"25693",137432,51,"Wholesale Trade"
"25694",137433,48,"Transportation & Public Utilities"
"25695",137434,35,"Manufacturing"
"25696",137435,73,"Services"
"25697",137436,73,"Services"
"25698",137441,28,"Manufacturing"
"25699",137470,NA,NA
"25700",137511,99,"Public Administration"
"25701",137512,73,"Services"
"25702",137530,73,"Services"
"25703",137531,NA,NA
"25704",137533,NA,NA
"25705",137534,NA,NA
"25706",137572,73,"Services"
